task,id,author,version,params,size_gb,date,downloads,likes,score
image-text-to-text,introvoyz041/VisCoder2-7B-mlx-4Bit,introvoyz041,41.0,7B,0.0,2025-12-18,0,0,4100.0
image-text-to-text,introvoyz041/VisCoder2-14B-mlx-4Bit,introvoyz041,41.0,14B,0.0,2025-12-18,0,0,4100.0
image-text-to-text,introvoyz041/QoQ-Med-VL-7B-mlx-4Bit,introvoyz041,41.0,7B,0.0,2025-12-16,0,0,4100.0
image-text-to-text,introvoyz041/Lingshu-7B-Q4_0-GGUF,introvoyz041,41.0,7B,0.0,2025-12-15,19,0,4100.0
image-text-to-text,introvoyz041/Lingshu-32B-Q4_0-GGUF,introvoyz041,41.0,32B,0.0,2025-12-15,19,0,4100.0
image-text-to-text,introvoyz041/gemma-3-27b-it-abliterated-mlx-4Bit,introvoyz041,41.0,27B,0.0,2025-12-11,124,0,4100.0
image-text-to-text,introvoyz041/JanusCoderV-7B-qx86-hi-mlx-mlx-4Bit,introvoyz041,41.0,7B,0.0,2025-12-04,53,0,4100.0
image-text-to-text,introvoyz041/Huihui-Qwen3-VL-32B-Thinking-abliterated-qx65-hi-mlx-mlx-4Bit,introvoyz041,41.0,32B,0.0,2025-12-03,346,0,4100.0
image-text-to-text,introvoyz041/Huihui-Qwen3-VL-30B-A3B-Thinking-abliterated-qx86-hi-mlx-mlx-4Bit,introvoyz041,41.0,30B,0.0,2025-12-03,220,0,4100.0
image-text-to-text,introvoyz041/Qwen3-VL-30B-A3B-Thinking-MLX-8bit-mlx-8Bit,introvoyz041,41.0,30B,0.0,2025-11-30,119,0,4100.0
image-text-to-text,introvoyz041/Qwen3-VL-30B-A3B-Instruct-MLX-4bit-mlx-4Bit,introvoyz041,41.0,30B,0.0,2025-11-30,87,0,4100.0
image-text-to-text,introvoyz041/Qwen3-VL-4B-Instruct-MLX-4bit-mlx-4Bit,introvoyz041,41.0,4B,0.0,2025-11-30,65,0,4100.0
image-text-to-text,introvoyz041/Qwen3-VL-2B-Thinking-MLX-8bit-mlx-4Bit,introvoyz041,41.0,2B,0.0,2025-11-30,61,0,4100.0
